uuid,link_id,link,time_class,time_control,rated,white,white_rating,black,black_rating,rating_diff,opening,simple_opening,eco_code,my_color,result,white_accuracy,black_accuracy,Time,end_time,moves
f1c1aa82-47e1-11f0-8c01-383ba101000f,139526651528,https://www.chess.com/game/live/139526651528,blitz,180+2,True,ParpasP,905,Badturn,899,6,Kings-Indian-Defense-Normal-Variation...5.Nf3-O-O-6.h3-c6,King's Indian Defense,/www.chess.com/openings/Kings-Indian-Defense-Normal-Variation...5.Nf3-O-O-6.h3-c6,White,Loss,75.37,71.54,2025-06-13 01:14:54+02:00,1749770094,d4|Nf6|c4|g6|Nc3|Bg7|e4|d6|h3|O-O|Nf3|c6|Bd3|Nbd7|Bg5|e5|d5|Qb6|Qd2|Nc5|b3|Qa6|O-O|Qb6|Rab1|a5|Be3|Qc7|Bxc5|dxc5|Be2|Nd7|d6|Qd8|Rfd1|f5|exf5|Rxf5|Bd3|Rf6|Ne4|Rf7|Neg5|Rf8|Ne6|Qe8|Nxf8|Qxf8|Ng5|Nf6|Be2|Bh6|Qe3|e4|Qf4|Qg7|Qe5|Bxg5|Qxg5|Bf5|g4|Be6
d225321e-4656-11f0-8c01-383ba101000f,139451194266,https://www.chess.com/game/live/139451194266,blitz,180+2,True,Xx220xX,910,ParpasP,914,-4,Torre-Attack-Fianchetto-Defense,Torre Attack,/www.chess.com/openings/Torre-Attack-Fianchetto-Defense,Black,Win,83.02,97.15,2025-06-11 02:04:49+02:00,1749600289,d4|Nf6|Nf3|g6|Bg5|Bg7|Bxf6|Bxf6|c3|O-O|e4|d6|Bc4|Nd7|O-O|c5|d5|Re8|a4|b6|Nbd2|Bb7|b4|Bxc3|bxc5|Bxa1|Qxa1|Nxc5|Nd4|e5|dxe6|Nxe6|Bb5|Re7|Nc6|Bxc6|Bxc6|Rc8|Rc1|Rec7|a5|Rxc6|Rxc6|Rxc6|f3|Qc8|Nb3|Rc3|axb6|axb6|Qa4|Nc5|Nxc5|Qxc5+|Kf1|Rc1+|Ke2|Rc2+|Kd3|Qc3#
acf36440-4652-11f0-8c01-383ba101000f,139450619912,https://www.chess.com/game/live/139450619912,blitz,180+2,True,ParpasP,906,ohhaical,901,5,Slav-Defense-Modern-Three-Knights-Variation,Slav Defense,/www.chess.com/openings/Slav-Defense-Modern-Three-Knights-Variation,White,Draw,66.69,66.99,2025-06-11 01:38:59+02:00,1749598739,d4|c6|c4|d5|Nc3|Nf6|Nf3|Bg4|Bg5|h6|Bxf6|exf6|e4|Bb4|Bd3|Bxc3+|bxc3|Qa5|O-O|O-O|h3|dxe4|Bxe4|Be6|Qd3|f5|d5|cxd5|Bxd5|Bxd5|cxd5|Rd8|c4|Nc6|Qxf5|Nb4|Ne5|b5|Qxf7+|Kh8|Ng6+|Kh7|Qf5|Rxd5|cxd5|Qb6|Ne7+|Kh8|Ng6+|Kg8|Ne7+|Kh8|Ng6+|Kg8|Rfe1|Qf6|Qxf6|gxf6|Re7|Nxd5|Rd7|Nc3|Nf4|a5|Rd6|b4|Rxf6|Ne4|Rxh6|Rf8|Rg6+|Kf7|Rf6+|Kxf6|Nd5+|Ke6|Nc7+|Kd7|Rc1|Nxf2|Kh2|Nd3|Rd1|Kxc7|Rxd3|Rd8|Rg3|Rd2|Rb3|Kb6|Kg3|Rxa2|h4|Rc2|h5|Rc7|Rf3|Rh7|Rf6+|Kb5|h6|Ka4|Kg4|b3|Kh5|Ka3|Rg6|b2|Rg7|Rxh6+|Kxh6|b1=Q|g4|Qh1+|Kg6|Qb1+|Kh6|Qb6+|Kh7|Qb1+|Kh6
ec8ff80b-43f2-11f0-bb81-5d933701000f,139335285296,https://www.chess.com/game/live/139335285296,blitz,180+2,True,IlonMask2008,956,ParpasP,906,50,Grob-Opening,Grob,/www.chess.com/openings/Grob-Opening,Black,Win,77.19,83.51,2025-06-08 01:04:59+02:00,1749337499,g4|c5|Bg2|d6|Nc3|Nc6|h3|h6|b4|cxb4|Nd5|e6|Ne3|Nf6|c3|bxc3|dxc3|Be7|Nf3|O-O|Nd4|d5|O-O|Ne4|Nxc6|bxc6|Nc2|Nxc3|Qd3|Ne4|f3|Ng3|Rf2|Bh4|Bf4|Qb6|Be3|Qc7|Bc1|Bb7|Nd4|c5|Nb5|Qe5|Bf1|Qxa1|Nd6|Qxc1|Nxb7|Qf4|Na5|Nxf1|Kxf1|Bxf2|Kxf2|Qd4+|Qxd4|cxd4|Nc6|a5|Nxd4|Rab8
f4f67ffd-43f1-11f0-b680-998a5d01000f,139335139902,https://www.chess.com/game/live/139335139902,blitz,180+2,True,ParpasP,896,IlonMask2008,966,-70,Queens-Pawn-Opening-Horwitz-Defense-2.Nf3-c5-3.c4,Quenn's Pawn Opening,/www.chess.com/openings/Queens-Pawn-Opening-Horwitz-Defense-2.Nf3-c5-3.c4,White,Win,,,2025-06-08 00:58:21+02:00,1749337101,d4|c5|c4|e6|Nf3|Nc6|d5|exd5|cxd5|Nce7|e4|d6|Nc3|Ng6|Bb5+|Bd7|Qa4|Nf6|Bg5|Be7|Bxf6|Bxb5|Qxb5+|Kf8|Bxe7+|Nxe7|O-O|f6|Rfe1|Kf7|b4|b6|bxc5|bxc5|Qe2|Re8|Rab1|Kg8|Rb7|Ng6|g3|Rf8|Reb1|Ne5|Nxe5|fxe5|Qg4|Qf6|Qe6+|Kh8|Qxf6|gxf6|Rd7|Rab8|Rxb8|Rxb8|Rxd6|Kg7|Rd7+|Kg6|Rxa7|Rb4|Rc7|Rc4|Nb5|Rc1+|Kg2|c4|a4|c3|Rxc3|Ra1|d6|Rxa4|d7|Ra8|Rd3|Rd8|Na7|Kf7|Nc6|Rxd7|Rxd7+|Ke6|Rxh7|Kd6|Rh6|Kxc6|Rxf6+|Kc5|h4|Kd4|h5|Kxe4|h6|Kd5|h7|e4|h8=Q|Ke5|Rf4+|Kd5|Qh5+|Kd4|Rxe4+|Kxe4|Qe2+|Kf5|Qf3+|Kg6|Qf4|Kh7|Qg5|Kh8|f4|Kh7|f5|Kh8|f6|Kh7|f7|Kh8|Qg8#
e073c1f8-43f0-11f0-ad85-54b12501000f,139334975192,https://www.chess.com/game/live/139334975192,blitz,180+2,True,ParpasP,886,nekiros,944,-58,Queens-Gambit-Accepted-Central-Variation-Greco-Variation-4.a4,Queen's Gambit Accepted,/www.chess.com/openings/Queens-Gambit-Accepted-Central-Variation-Greco-Variation-4.a4,White,Loss,,,2025-06-08 00:51:19+02:00,1749336679,d4|d5|c4|dxc4|e4|b5|a4|c5|d5|Ba6|axb5|Bxb5|Nc3|Qb6|Nxb5|Qxb5|Be3|Nd7|Qd2|Ngf6|f3|g6|Ra5|Qb3|Bxc5|Bg7|Bd4|O-O|Qc3|Nb6|Bxb6|axb6|Rxa8|Rxa8|Qxb3|cxb3|Bc4|Nd7|Bxb3|Bxb2|Ne2|Nc5|Bc2|Ra1+|Bd1|Nd3+|Kd2|Nb4|Bc2|Rxh1
60b16b6f-43ef-11f0-ad85-54b12501000f,139334740408,https://www.chess.com/game/live/139334740408,blitz,180+2,True,Alimzhaxylyk,880,ParpasP,893,-13,Sicilian-Defense-Open-Dragon-Variation-6.Be3-Bg7,Sicilian Defense,/www.chess.com/openings/Sicilian-Defense-Open-Dragon-Variation-6.Be3-Bg7,Black,Win,72.25,72.11,2025-06-08 00:41:04+02:00,1749336064,e4|c5|Nf3|d6|d4|cxd4|Nxd4|Nf6|Nc3|g6|Be3|Bg7|Bb5+|Bd7|Bxd7+|Nbxd7|O-O|e5|Nde2|O-O|a4|Rc8|a5|a6|Nd5|Nxe4|c4|Rxc4|Nb6|Nxb6|Bxb6|Qc8|Rc1|Rxc1|Nxc1|Qe6|Nd3|d5|Nb4|Nf6|Re1|e4|f3|Nd7|Qxd5|Nxb6|Qxe6|fxe6|axb6|Bxb2|Rxe4|Kf7|Nd3|Bc3|Nc5|e5|Nxb7|Bd4+|Kf1|Rb8|Nd6+|Ke6
f0fc76d5-43ee-11f0-bb81-5d933701000f,139334671182,https://www.chess.com/game/live/139334671182,blitz,180+2,True,talsarig,905,ParpasP,885,20,Sicilian-Defense-Mengarini-Variation,Sicilian Defense,/www.chess.com/openings/Sicilian-Defense-Mengarini-Variation,Black,Loss,,,2025-06-08 00:33:01+02:00,1749335581,e4|c5|a3|d6|g3|Nf6|Bg2|g6|d3|Bg7|Ne2|Nc6|O-O|O-O|Be3|Ng4|Bd2|e5|h3|Nf6|Be3|Nd4|c3|Nxe2+|Qxe2|b6|f4|Bb7|fxe5|dxe5|Bg5|Qd6|Qf3|Nxe4|dxe4|Rad8
166069c7-43ee-11f0-b680-998a5d01000f,139334534654,https://www.chess.com/game/live/139334534654,blitz,180+2,True,ParpasP,893,lliuquill,856,37,Queens-Gambit-Accepted-Central-Variation-Greco-Variation-4.a4,Queen's Gambit Accepted,/www.chess.com/openings/Queens-Gambit-Accepted-Central-Variation-Greco-Variation-4.a4,White,Win,76.77,60.43,2025-06-08 00:28:41+02:00,1749335321,d4|d5|c4|dxc4|e4|b5|a4|Bd7|axb5|Bxb5|Nc3|c6|d5|Qb6|Nxb5|cxb5|Be3|Qd6|Rxa7|Rxa7|Bxa7|Nd7|Bd4|f6|Nf3|g5|Be2|Bg7|Nxg5|Nh6|Ne6|Kf7|Bh5+|Kg8|O-O|Nf8|Bg4|Nxg4|Qxg4|h5|Qxg7#
88f4e9dc-43ec-11f0-947a-35d0a201000f,139334281074,https://www.chess.com/game/live/139334281074,blitz,180+2,True,NileshSarkate,958,ParpasP,885,73,Sicilian-Defense-Bowdler-Attack,Sicilian Defense,/www.chess.com/openings/Sicilian-Defense-Bowdler-Attack,Black,Win,73.91,75.62,2025-06-08 00:22:03+02:00,1749334923,e4|c5|Bc4|d6|d3|Nf6|Be3|g6|f3|Bg7|Nd2|O-O|c3|Nbd7|Ne2|Re8|O-O|a6|a3|b5|Ba2|e5|Ng3|Bb7|h3|Rc8|Rc1|d5|c4|dxe4|fxe4|Nb6|cxb5|Qxd3|Rc3|Qxb5|Qc2|Red8|Rb1|Qc6|b4|Qd7|Bxc5|Na4|Re3|Nxc5|Ne2|Qxd2|Qxd2|Rxd2|bxc5|Rxa2|Rxb7|Rxc5|Rb8+|Bf8|Nc3|Rxc3|Rxc3|Ra1+|Kh2|Nxe4|Rcc8|Kg7|Rxf8|Kf6|Rb7|Rxa3|Rfxf7+|Kg5|Rxh7|Nf2|Rhg7|Ra1|Rb6|Kf4|Rf6+|Ke3|Rgxg6|Rh1+|Kg3|Ne4+|Kg4|Nxf6+|Rxf6|Rg1|Rf3+|Kd2|Kg3|Re1|Rf2+|Re2|Rf6|e4|Rxa6|e3|Kf3|Rf2+|Kg3|e2|Rd6+|Ke3|Re6+|Kd2|Rd6+|Ke1|h4|Kf1|Re6|e1=Q|Re2|Qxe2
